iter	RMSE
203	14969.31317
204	14926.15111
205	14891.40827
206	14865.97492
207	14835.15667
208	14804.33474
209	14768.73583
210	14750.45724
211	14721.08476
212	14686.42594
213	14649.92064
214	14632.03099
215	14603.92135
216	14576.86841
217	14558.59275
218	14534.30829
219	14490.86358
220	14444.95658
221	14417.69937
222	14390.1294
223	14351.67807
224	14315.36343
225	14277.12238
226	14258.86423
227	14224.93346
228	14196.09258
229	14164.90077
230	14124.7222
231	14100.71144
232	14074.34763
233	14031.27656
234	14008.46473
235	13998.88385
236	13971.89826
237	13941.97387
238	13907.16784
239	13865.43186
240	13846.87224
241	13816.24387
242	13774.14447
243	13742.64743
244	13717.3234
245	13701.80221
246	13678.98078
247	13674.96235
248	13634.16853
249	13594.19791
250	13557.62682
251	13551.65768
252	13526.82162
253	13507.0778
254	13475.08979
255	13446.68785
256	13430.70979
257	13425.03048
258	13398.95901
259	13395.47837
260	13367.46651
261	13340.81346
262	13315.69046
263	13277.39818
264	13259.9449
265	13234.18356
266	13229.13227
267	13203.21102
268	13190.20966
269	13153.25654
270	13121.17909
271	13100.03046
272	13067.05308
273	13029.2422
274	13014.41431
275	12991.7195
276	12987.1466
277	12942.61777
278	12911.27048
279	12881.62862
280	12852.69758
281	12841.11327
282	12815.45742
283	12777.01546
284	12755.36719
285	12737.65863
286	12715.72261
287	12702.47314
288	12669.51738
289	12648.55896
290	12632.02829
291	12601.71698
292	12571.04391
293	12544.31799
294	12518.91116
295	12496.83095
296	12471.92217
297	12443.55857
298	12418.43419
299	12389.63107
300	12362.00155
301	12339.19651
302	12322.77045
303	12302.89014
304	12281.68342
305	12265.64291
306	12239.07963
307	12219.03273
308	12194.83727
309	12179.71033
310	12155.67715
311	12136.40476
312	12107.26668
313	12087.12096
314	12066.2207
315	12036.66532
316	12017.82202
317	12001.29268
318	11965.70477
319	11961.83479
320	11944.14799
321	11917.54531
322	11888.36565
323	11870.0493
324	11832.63097
325	11802.30943
326	11781.68206
327	11770.72689
328	11741.15256
329	11727.13683
330	11699.98064
331	11673.55181
332	11656.57049
333	11638.75571
334	11616.74812
335	11589.09369
336	11573.87955
337	11560.03984
338	11533.58781
339	11512.6453
340	11494.67473
341	11463.9677
342	11451.01814
343	11433.33651
344	11392.80792
345	11367.74742
346	11337.03353
347	11307.30042
348	11283.13688
349	11271.98482
350	11268.8186
351	11242.45811
352	11233.83648
353	11231.08372
354	11205.70096
355	11189.54048
356	11171.9284
357	11149.72247
358	11138.99922
359	11123.6262
360	11108.96461
361	11095.7399
362	11085.74094
363	11068.82534
364	11062.09635
365	11046.93405
366	11010.94082
367	10986.67248
368	10982.28249
369	10979.82913
370	10968.59713
371	10953.89395
372	10929.50767
373	10927.1295
374	10905.68128
375	10891.25317
376	10878.36326
377	10844.83645
378	10809.56429
379	10796.15886
380	10791.77434
381	10772.87406
382	10761.3147
383	10758.94353
384	10736.68685
385	10712.66044
386	10687.27646
387	10671.51579
388	10640.59068
389	10638.67724
390	10614.2548
391	10612.16853
392	10593.53711
393	10578.96383
394	10577.14401
395	10554.6037
396	10534.88441
397	10510.68348
398	10493.63287
399	10476.27466
400	10457.29911
401	10430.71098
402	10405.70918
403	10389.57948
404	10367.51157
405	10341.15959
406	10329.19125
407	10306.6417
408	10289.21906
409	10271.34829
410	10248.28153
411	10233.33699
412	10223.24366
413	10207.47673
414	10192.75504
415	10178.89188
416	10164.52221
417	10142.39857
418	10126.54024
419	10113.42175
420	10087.17161
421	10074.9774
422	10058.35871
423	10049.35173
424	10041.36736
425	10012.85185
426	9992.211047
427	9980.01553
428	9970.16161
429	9963.859116
430	9948.72958
431	9940.536055
432	9909.375116
433	9891.944746
434	9877.370253
435	9862.297166
436	9846.879351
437	9839.374408
438	9830.951572
439	9829.341006
440	9820.68429
441	9805.005073
442	9786.456478
443	9777.970421
444	9755.280164
445	9753.688433
446	9738.732911
447	9721.603679
448	9714.868238
449	9698.627001
450	9682.340788
451	9663.270477
452	9639.141795
453	9623.98112
454	9622.353198
455	9592.242008
456	9578.998666
457	9573.246211
458	9571.702034
459	9549.883382
460	9536.571507
461	9515.08578
462	9505.897831
463	9487.485018
464	9468.821511
465	9448.428173
466	9439.325645
467	9421.418803
468	9415.470707
469	9414.021671
470	9399.845095
471	9384.514383
472	9368.010517
473	9352.218542
474	9336.316756
475	9323.141476
476	9321.769673
477	9305.703604
478	9276.640449
479	9254.160163
480	9234.20936
481	9212.64984
482	9199.96532
483	9198.667396
484	9173.766657
485	9157.267862
486	9145.705298
487	9119.288849
488	9097.106587
489	9080.13394
490	9066.501528
491	9050.668497
492	9036.709079
493	9021.496045
494	9002.866772
495	8981.957814
496	8965.289881
497	8964.222872
498	8958.980602
499	8944.501036
500	8931.871403
501	8929.328972
502	8911.073635
503	8896.526149
504	8880.409365
505	8850.286117
506	8839.345568
507	8834.052194
508	8820.528722
509	8805.280359
510	8799.845815
511	8777.246504
512	8752.668339
513	8733.169827
514	8716.965926
515	8694.315224
516	8674.972311
517	8659.14793
518	8638.818038
519	8635.322103
520	8615.070847
521	8596.409739
522	8589.942011
523	8588.951553
524	8588.127193
525	8572.985732
526	8556.933384
527	8535.404906
528	8523.833428
529	8522.702029
530	8511.05475
531	8492.253069
532	8478.868526
533	8461.688632
534	8451.672351
535	8433.564866
536	8420.949668
537	8405.407368
538	8399.115886
539	8386.553153
540	8366.702629
541	8344.776688
542	8333.07771
543	8310.761089
544	8294.608278
545	8281.845253
546	8265.985828
547	8260.378647
548	8240.075704
549	8235.281888
550	8222.442626
551	8214.583085
552	8208.085479
553	8190.502015
554	8178.435747
555	8160.749379
556	8145.293574
557	8132.360093
558	8125.330154
559	8111.246331
560	8097.601934
561	8090.241217
562	8080.414291
563	8065.250715
564	8050.92342
565	8031.314816
566	8020.870817
567	8007.897548
568	7995.151604
569	7984.740865
570	7970.141074
571	7954.903596
572	7942.680954
573	7925.977345
574	7912.671312
575	7899.999505
576	7892.479852
577	7878.070666
578	7873.111928
579	7863.534391
580	7862.503956
581	7859.536503
582	7848.230146
583	7833.609597
584	7821.394328
585	7805.137644
586	7786.956527
587	7775.906185
588	7763.997494
589	7756.411611
590	7737.01139
591	7732.411049
592	7720.483112
593	7709.071218
594	7694.056033
595	7683.77818
596	7671.480113
597	7665.537006
598	7660.476504
599	7643.794958
600	7631.763418
601	7619.134527
602	7602.623055
603	7585.800466
604	7576.293293
605	7559.681712
606	7543.819392
607	7532.82559
608	7531.924675
609	7523.231526
610	7509.911796
611	7498.437441
612	7482.46678
613	7466.458972
614	7453.472669
615	7452.606933
616	7440.928613
617	7439.688643
618	7429.19461
619	7419.140668
620	7416.354813
621	7400.935256
622	7385.55697
623	7370.770276
624	7357.809011
625	7349.498135
626	7341.226667
627	7335.764865
628	7323.059184
629	7311.010741
630	7303.641509
631	7302.179794
632	7287.182506
633	7273.969053
634	7273.280776
635	7259.355597
636	7247.196851
637	7246.149689
638	7239.203807
639	7234.55295
640	7225.243731
641	7215.115479
642	7207.991313
643	7189.416519
644	7183.732021
645	7170.406371
646	7154.406369
647	7142.7579
648	7133.700074
649	7121.13485
650	7113.997529
651	7106.893809
652	7097.622206
653	7083.193735
654	7079.272074
655	7068.087439
656	7056.314347
657	7050.592443
658	7049.900716
659	7040.53563
660	7027.625657
661	7018.667655
662	7005.863773
663	6997.630249
664	6992.026726
665	6979.827742
666	6964.711123
667	6959.022667
668	6951.139523
669	6942.258218
670	6928.898045
671	6919.816163
672	6907.55326
673	6900.761004
674	6890.49849
675	6882.100809
676	6873.347279
677	6872.493815
678	6859.035706
679	6841.59235
680	6830.060306
681	6818.368359
682	6808.000042
683	6806.483022
684	6797.617279
685	6787.564852
686	6777.164847
687	6766.994514
688	6759.221982
689	6747.525103
690	6734.127535
691	6715.963455
692	6707.689855
693	6700.366909
694	6691.140918
695	6690.460741
696	6682.673969
697	6668.304512
698	6663.39656
699	6659.285002
700	6652.384155
701	6640.235483
702	6628.721388
703	6622.915122
704	6611.757057
705	6602.105364
706	6597.743785
707	6589.243107
708	6585.116697
709	6574.213411
710	6572.628076
711	6563.745497
712	6551.76098
713	6545.379795
714	6531.216935
715	6514.089237
716	6499.608142
717	6498.473294
718	6484.515908
719	6482.437328
720	6475.215438
721	6466.51999
722	6461.204665
723	6460.505999
724	6448.7698
725	6438.257232
726	6423.262049
727	6414.926052
728	6402.253581
729	6390.680936
730	6379.345626
731	6376.582001
732	6366.321112
733	6355.529597
734	6353.579432
735	6352.218898
736	6350.855366
737	6332.172898
738	6324.350502
739	6315.371001
740	6310.248893
741	6305.319485
742	6297.306741
743	6293.647408
744	6284.742563
745	6273.215007
746	6265.005178
747	6249.654596
748	6236.837242
749	6224.77881
750	6213.064433
751	6210.383791
752	6199.833149
753	6190.974669
754	6180.201292
755	6171.168504
756	6159.669746
757	6148.389386
758	6136.592921
759	6133.988333
760	6123.109297
761	6115.821777
762	6110.857872
763	6098.109011
764	6091.702022
765	6091.18513
766	6087.684569
767	6077.964141
768	6069.593138
769	6059.603355
770	6049.03913
771	6041.109
772	6037.634832
773	6036.853323
774	6029.960961
775	6027.423576
776	6021.341321
777	6019.081858
778	6011.573994
779	6007.336426
780	5993.281872
781	5986.529037
782	5980.06056
783	5969.750724
784	5957.439957
785	5955.079846
786	5952.959224
787	5942.207185
788	5933.857476
789	5929.101299
790	5921.514286
791	5916.597516
792	5913.112516
793	5906.871472
794	5896.860771
795	5891.15927
796	5882.346285
797	5875.278043
798	5868.034945
799	5858.948494
800	5856.005065
801	5853.572098
802	5844.477917
803	5841.993412
804	5838.897621
805	5817.892983
806	5811.65221
807	5805.878576
808	5798.493193
809	5791.502102
810	5781.701563
811	5779.422854
812	5768.066099
813	5758.923823
814	5745.058389
815	5738.962718
816	5728.315939
817	5720.91155
818	5718.401623
819	5710.844982
820	5703.215135
821	5692.212831
822	5690.23624
823	5677.95297
824	5668.267691
825	5661.62852
826	5646.726778
827	5639.487312
828	5630.659583
829	5624.594515
830	5619.456809
831	5614.948234
832	5613.778913
833	5612.02542
834	5609.153002
835	5602.752398
836	5594.426444
837	5579.729193
838	5568.277631
839	5564.760745
840	5560.568266
841	5556.665268
842	5546.351778
843	5544.04039
844	5532.71341
845	5518.930144
846	5508.624281
847	5502.538615
848	5489.60957
849	5487.195853
850	5485.63758
851	5480.505302
852	5478.798186
853	5466.424854
854	5464.485144
855	5454.983204
856	5441.550371
857	5437.208176
858	5430.366133
859	5417.379434
860	5412.064748
861	5409.928747
862	5405.769698
863	5402.949433
864	5395.24805
865	5392.416054
866	5383.221944
867	5377.845471
868	5365.719024
869	5360.811383
870	5347.632039
871	5341.306856
872	5332.54706
873	5323.08021
874	5314.339016
875	5309.02567
876	5308.240805
877	5304.219697
878	5296.869886
879	5288.979964
880	5286.094084
881	5283.29526
882	5273.188009
883	5261.396323
884	5260.599909
885	5249.935802
886	5243.359559
887	5238.064024
888	5228.199254
889	5217.742436
890	5208.479286
891	5196.2508
892	5189.59866
893	5187.532649
894	5176.211991
895	5169.431124
896	5160.812136
897	5151.520848
898	5146.372656
899	5138.135644
900	5132.288053
901	5122.801541
902	5116.756701
903	5109.495897
904	5107.214365
905	5103.915179
906	5092.837068
907	5088.022093
908	5082.251924
909	5068.355453
910	5063.801683
911	5059.521143
912	5055.334626
913	5047.819523
914	5043.911871
915	5033.699487
916	5026.865942
917	5016.539372
918	5012.917982
919	5004.987512
920	4997.136033
921	4993.299411
922	4990.63122
923	4984.158406
924	4979.004761
925	4977.133124
926	4972.030889
927	4966.335976
928	4961.433182
929	4958.353698
930	4954.022186
931	4950.903443
932	4950.415754
933	4941.282577
934	4935.371601
935	4929.323369
936	4917.482841
937	4913.66999
938	4908.419166
939	4899.315525
940	4896.218251
941	4888.946692
942	4883.397102
943	4878.360798
944	4877.070698
945	4870.080796
946	4862.722245
947	4857.336478
948	4852.2375
949	4845.437233
950	4844.917736
951	4843.451183
952	4837.018489
953	4834.905663
954	4827.409904
955	4824.038228
956	4813.072494
957	4808.246348
958	4800.551297
959	4798.610298
960	4790.685004
961	4787.499907
962	4781.024694
963	4780.551973
964	4774.143185
965	4771.200359
966	4768.396763
967	4764.224068
968	4758.656363
969	4752.578739
970	4747.251161
971	4743.772609
972	4735.834962
973	4730.532215
974	4724.662332
975	4721.996281
976	4720.060923
977	4715.259875
978	4708.627957
979	4697.337964
980	4695.711388
981	4686.339486
982	4675.686879
983	4670.834018
984	4660.869884
985	4655.213401
986	4648.391089
987	4646.935499
988	4645.59952
989	4639.103517
990	4638.462022
991	4634.839455
992	4628.435478
993	4619.67812
994	4615.815185
995	4607.247881
996	4596.953034
997	4596.605129
998	4586.722256
999	4586.242883
