iter	Accuracy	CrossEntropy
143	0.8218291631	0.3839695195
144	0.8213977567	0.3838085773
145	0.8213977567	0.383606274
146	0.8216853609	0.3831427519
147	0.8218291631	0.3829565473
148	0.8218291631	0.382654566
149	0.8218291631	0.3821238832
150	0.8222605695	0.3816603894
151	0.8226919758	0.3812853409
152	0.8226919758	0.3810300832
153	0.8226919758	0.3805247778
154	0.8225481737	0.3803857759
155	0.8229795801	0.380130993
156	0.822835778	0.380012369
157	0.822835778	0.3798138272
158	0.8229795801	0.3795259657
159	0.8229795801	0.3793138697
160	0.8229795801	0.3791023611
161	0.8231233822	0.37883997
162	0.8234109865	0.3785244414
163	0.8236985907	0.3783011203
164	0.8236985907	0.3779057253
165	0.823986195	0.3777101843
166	0.823986195	0.3774954402
167	0.8236985907	0.3770247052
168	0.8241299971	0.3767377449
169	0.8247052056	0.3764172112
170	0.8245614035	0.3762192361
171	0.8247052056	0.3759233613
172	0.8249928099	0.3757488179
173	0.8247052056	0.3755764619
174	0.8248490078	0.3753003306
175	0.8245614035	0.3750459228
176	0.8247052056	0.374640458
177	0.8245614035	0.3744977143
178	0.8248490078	0.3742199332
179	0.825136612	0.3740242978
180	0.8249928099	0.3738849734
181	0.825136612	0.3737099942
182	0.825136612	0.3735868333
183	0.825136612	0.3734173589
184	0.825136612	0.373318972
185	0.8252804142	0.3729890264
186	0.8257118205	0.3726448247
187	0.8255680184	0.3724811424
188	0.8255680184	0.37223338
189	0.8257118205	0.3718471065
190	0.8255680184	0.3715767289
191	0.8255680184	0.3713712509
192	0.8255680184	0.371125769
193	0.8257118205	0.3710490767
194	0.8255680184	0.3708315982
195	0.8255680184	0.3704855983
196	0.8261432269	0.3703293779
197	0.8264308312	0.3700821293
198	0.8258556227	0.3697563702
199	0.826287029	0.3695008102
200	0.8268622376	0.3693545133
201	0.8270060397	0.3692661887
202	0.8270060397	0.3691234873
203	0.8268622376	0.3690230303
204	0.8271498418	0.3689102759
205	0.8271498418	0.3688132146
206	0.8271498418	0.3686716116
207	0.8272936439	0.3683886406
208	0.8275812482	0.3681704813
209	0.8280126546	0.3678046031
210	0.828444061	0.3676886695
211	0.8283002588	0.3675340621
212	0.8281564567	0.3673746517
213	0.8283002588	0.3672727243
214	0.8288754674	0.3671276985
215	0.8291630716	0.3670141784
216	0.829594478	0.3669127019
217	0.8297382801	0.3667518772
218	0.829594478	0.3665669459
219	0.8294506759	0.3664506813
220	0.829594478	0.3662663574
221	0.829594478	0.3660473133
222	0.8298820823	0.3657963104
223	0.8297382801	0.3656546907
224	0.8297382801	0.3655389258
225	0.8298820823	0.3652069927
226	0.829594478	0.3650548425
227	0.8297382801	0.3648755972
228	0.8297382801	0.3647557794
229	0.829594478	0.3646128522
230	0.829594478	0.3644449439
231	0.8304572908	0.3643174464
232	0.8308886972	0.3641095744
233	0.8311763014	0.363958379
234	0.8308886972	0.3638296253
235	0.8310324993	0.3637367409
236	0.8310324993	0.3634756441
237	0.8316077078	0.3633593862
238	0.8311763014	0.3630634978
239	0.8314639057	0.3629447233
240	0.8313201035	0.3628133974
241	0.8314639057	0.3625623313
242	0.8318953121	0.3623926207
243	0.8318953121	0.3622453107
244	0.8318953121	0.3620444844
245	0.8318953121	0.3619191114
246	0.8314639057	0.3616459346
247	0.8317515099	0.36151361
248	0.8314639057	0.3614952771
249	0.8316077078	0.3613882885
250	0.8317515099	0.3612047163
251	0.8317515099	0.3610695219
252	0.8321829163	0.3609217279
253	0.8321829163	0.3606592053
254	0.8323267184	0.3604765323
255	0.8326143227	0.3603955532
256	0.8324705206	0.3601717246
257	0.8327581248	0.3599263112
258	0.8331895312	0.3597049279
259	0.8333333333	0.3595520683
260	0.8333333333	0.3593762174
261	0.8333333333	0.3591532173
262	0.8333333333	0.3589000343
263	0.8339085418	0.3586767371
264	0.8343399482	0.3584866049
265	0.8344837504	0.3583292943
266	0.8346275525	0.3579707356
267	0.8350589589	0.3577840324
268	0.835202761	0.3575872212
269	0.8354903653	0.3573665866
270	0.8357779695	0.3571803569
271	0.8356341674	0.3569846319
272	0.8356341674	0.3568696031
273	0.8360655738	0.3566757837
274	0.8364969802	0.3564685373
275	0.8364969802	0.3563208211
276	0.8370721887	0.3560799191
277	0.8369283865	0.3559309433
278	0.8375035951	0.3557219251
279	0.8373597929	0.355613014
280	0.8373597929	0.35540274
281	0.8375035951	0.3551486592
282	0.8373597929	0.3550125397
283	0.8379350014	0.3548953886
284	0.8379350014	0.3547826648
285	0.8379350014	0.3545362598
286	0.8382226057	0.3543622601
287	0.8383664078	0.3541538942
288	0.8383664078	0.3540235691
289	0.8383664078	0.3538520665
290	0.8386540121	0.3537559732
291	0.8390854185	0.3534074887
292	0.8387978142	0.3533161062
293	0.8390854185	0.3531817509
294	0.8393730227	0.3529955078
295	0.8398044291	0.3528597557
296	0.839660627	0.3527273887
297	0.839660627	0.3526056685
298	0.8398044291	0.3524874811
299	0.8395168248	0.3523192404
300	0.8399482312	0.3521433858
301	0.8399482312	0.3519911275
302	0.8403796376	0.3518031052
303	0.8399482312	0.3516284438
304	0.8402358355	0.3514219919
305	0.8405234397	0.3512536069
306	0.840811044	0.3510942069
307	0.840811044	0.3509033909
308	0.840811044	0.3506896514
309	0.840811044	0.3505101509
310	0.8410986483	0.3502232599
311	0.8409548461	0.3500131148
312	0.8412424504	0.349924881
313	0.8410986483	0.3498132387
314	0.8413862525	0.3496723911
315	0.8412424504	0.3494696325
316	0.8410986483	0.3492438795
317	0.8410986483	0.3490394953
318	0.8410986483	0.3488491427
319	0.8412424504	0.3487590203
320	0.8415300546	0.3485836293
321	0.8418176589	0.3484139962
322	0.8425366695	0.3482312875
323	0.8421052632	0.3480503395
324	0.8426804717	0.3477460467
325	0.8429680759	0.3474821408
326	0.8429680759	0.3473316093
327	0.8429680759	0.3471565177
328	0.8429680759	0.3469428703
329	0.8429680759	0.3468144261
330	0.8429680759	0.3466965368
331	0.8428242738	0.3463896163
332	0.8431118781	0.3462754715
333	0.8433994823	0.3461163579
334	0.8436870866	0.3460342482
335	0.8433994823	0.3458920183
336	0.8432556802	0.3458160339
337	0.8433994823	0.3456540596
338	0.8444060972	0.345455743
339	0.8442622951	0.3452506595
340	0.8449813057	0.3451351788
341	0.8448375036	0.3449590947
342	0.8449813057	0.3447101291
343	0.8449813057	0.3445577947
344	0.84526891	0.344455225
345	0.8451251079	0.3442863109
346	0.8449813057	0.3441194233
347	0.8446937015	0.3439727778
348	0.8446937015	0.3438788095
349	0.8448375036	0.3436717702
350	0.8455565142	0.3434724871
351	0.8454127121	0.3432810405
352	0.8461317227	0.3430856039
353	0.8461317227	0.3429255139
354	0.8461317227	0.3427403853
355	0.8462755249	0.3425720587
356	0.8461317227	0.3424143545
357	0.846419327	0.3422494507
358	0.8462755249	0.3420761391
359	0.8462755249	0.3418705069
360	0.8462755249	0.3416878202
361	0.8465631291	0.3413945937
362	0.8467069313	0.3412640133
363	0.8468507334	0.3411448031
364	0.846419327	0.3409957989
365	0.8467069313	0.3408408889
366	0.8469945355	0.34067007
367	0.8471383376	0.3405283587
368	0.8471383376	0.3402860499
369	0.8474259419	0.340128321
370	0.8481449525	0.3398771701
371	0.8481449525	0.3397570467
372	0.8482887547	0.3395953156
373	0.8480011504	0.339386924
374	0.8478573483	0.3392566058
375	0.8480011504	0.3391102423
376	0.8481449525	0.3389246384
377	0.8484325568	0.3387995693
378	0.8485763589	0.3386255141
379	0.8487201611	0.3384664813
380	0.8487201611	0.3383153996
381	0.8490077653	0.33815354
382	0.8490077653	0.3378877261
383	0.8490077653	0.3376586197
384	0.8488639632	0.3375253239
385	0.8491515674	0.3373544562
386	0.8490077653	0.3372549121
387	0.8490077653	0.3370888886
388	0.8490077653	0.3368688753
389	0.8490077653	0.3367000798
390	0.8500143802	0.3365384179
391	0.8495829738	0.3363797971
392	0.8498705781	0.3362040221
393	0.8498705781	0.3360147906
394	0.8495829738	0.3358537051
395	0.849726776	0.3356155012
396	0.849726776	0.3355032946
397	0.849726776	0.3353408738
398	0.8495829738	0.335192203
399	0.8498705781	0.3350673142
400	0.8501581823	0.3349356198
401	0.8500143802	0.3348193619
402	0.849726776	0.3346339454
403	0.8500143802	0.3344296532
404	0.8498705781	0.3342748556
405	0.849726776	0.3341321682
406	0.8498705781	0.3339548041
407	0.8498705781	0.3338156874
408	0.8498705781	0.3336560451
409	0.8500143802	0.3334875767
410	0.850877193	0.3333316144
411	0.8511647972	0.3331934807
412	0.8510209951	0.3329903558
413	0.8510209951	0.3328296111
414	0.8514524015	0.3325974788
415	0.8514524015	0.3323562048
416	0.8514524015	0.3322679037
417	0.8515962036	0.3321597477
418	0.8517400058	0.3320054177
419	0.8515962036	0.3318391402
420	0.8523152143	0.3316753041
421	0.8523152143	0.3315353107
422	0.85202761	0.3313122141
423	0.85202761	0.3311229285
424	0.8521714121	0.3309869463
425	0.8521714121	0.330822207
426	0.8523152143	0.3306785659
427	0.8524590164	0.3305569978
428	0.8524590164	0.3304517278
429	0.8528904228	0.330335671
430	0.8534656313	0.3301163878
431	0.8540408398	0.3299939141
432	0.8537532355	0.3297818031
433	0.8538970377	0.3296597786
434	0.8536094334	0.329442212
435	0.8538970377	0.3290836372
436	0.8537532355	0.3289690705
437	0.8537532355	0.3288737077
438	0.8540408398	0.3286781346
439	0.8540408398	0.328522247
440	0.8540408398	0.3283857525
441	0.8541846419	0.3282400977
442	0.8544722462	0.3280198237
443	0.8541846419	0.327827215
444	0.8541846419	0.3276973113
445	0.8540408398	0.3275590227
446	0.8543284441	0.327395385
447	0.8546160483	0.3272593962
448	0.8547598504	0.3269964785
449	0.8544722462	0.3268464178
450	0.8543284441	0.3267146402
451	0.8546160483	0.3266043142
452	0.8546160483	0.3264739747
453	0.8547598504	0.3262793747
454	0.8549036526	0.3261262339
455	0.8550474547	0.3260031835
456	0.8551912568	0.3258946761
457	0.8549036526	0.3257753396
458	0.8550474547	0.3256414875
459	0.8556226632	0.3254317577
460	0.8556226632	0.3253194291
461	0.8556226632	0.3252153957
462	0.8556226632	0.3251539838
463	0.8557664653	0.3249513142
464	0.8554788611	0.3247693608
465	0.8550474547	0.324617305
466	0.8557664653	0.3244484617
467	0.8554788611	0.3243671758
468	0.8556226632	0.3242348702
469	0.8554788611	0.324161096
470	0.8557664653	0.323983041
471	0.8560540696	0.3238432152
472	0.8559102675	0.3237591236
473	0.8559102675	0.3235935272
474	0.856485476	0.3234077791
475	0.856485476	0.3233117871
476	0.8567730802	0.3231815639
477	0.8566292781	0.3230165668
478	0.856485476	0.3228380457
479	0.8572044866	0.3227524823
480	0.8574920909	0.3225546932
481	0.8577796951	0.3224235305
482	0.8577796951	0.3223494896
483	0.857635893	0.322239405
484	0.857635893	0.3221345519
485	0.857635893	0.3220960632
486	0.8573482888	0.3219040536
487	0.857635893	0.321780051
488	0.857635893	0.3216947774
489	0.8574920909	0.3216091276
490	0.8573482888	0.3215049236
491	0.8577796951	0.3213898155
492	0.8577796951	0.3213325411
493	0.8582111015	0.3212220697
494	0.8582111015	0.3210913249
495	0.8582111015	0.3209602509
496	0.8583549037	0.3208477926
497	0.8583549037	0.3207392314
498	0.8583549037	0.3205798991
499	0.8586425079	0.320465767
500	0.8589301122	0.3203074567
501	0.8595053207	0.319987588
502	0.8595053207	0.3198103215
503	0.8597929249	0.3196259054
504	0.8597929249	0.3195745255
505	0.8599367271	0.3194619662
506	0.8597929249	0.3192940292
507	0.8599367271	0.3192012493
508	0.8600805292	0.3190810775
509	0.8602243313	0.3188806019
510	0.8605119356	0.3188082198
511	0.8605119356	0.3186478624
512	0.860943342	0.3184992904
513	0.8607995398	0.318376773
514	0.8610871441	0.3181991946
515	0.8610871441	0.3180858087
516	0.8606557377	0.3179218343
517	0.8607995398	0.3177486638
518	0.8612309462	0.3176084761
519	0.8612309462	0.3174502701
520	0.8619499569	0.3172991562
521	0.8619499569	0.3171712242
522	0.8619499569	0.317068563
523	0.8619499569	0.3169170831
524	0.8618061547	0.3167520353
525	0.8613747483	0.316579346
526	0.8615185505	0.3163906858
527	0.862093759	0.3162185542
528	0.8622375611	0.3160525802
529	0.8618061547	0.315910779
530	0.862093759	0.3158112168
531	0.862093759	0.3157306923
532	0.8623813632	0.3156494495
533	0.8623813632	0.3155567689
534	0.8626689675	0.3154084032
535	0.8628127696	0.3153121975
536	0.8628127696	0.3151963289
537	0.8626689675	0.3150788655
538	0.8628127696	0.3149779011
539	0.8628127696	0.3148329004
540	0.8625251654	0.3147014057
541	0.8628127696	0.3144417055
542	0.8629565718	0.3143349113
543	0.8629565718	0.3142373459
544	0.863244176	0.3140954569
545	0.863244176	0.313910904
546	0.863244176	0.3138060121
547	0.8636755824	0.313699083
548	0.8638193845	0.3136018453
549	0.8638193845	0.313473555
550	0.8638193845	0.3133819846
551	0.8641069888	0.3132089577
552	0.8642507909	0.3129920744
553	0.8642507909	0.3128383731
554	0.8641069888	0.3126734498
555	0.8646821973	0.3125084878
556	0.8646821973	0.3124303437
557	0.8646821973	0.3123590849
558	0.8648259994	0.312164745
559	0.8649698016	0.3119418627
560	0.8651136037	0.3118715608
561	0.8652574058	0.3116497674
562	0.8655450101	0.3114988801
563	0.8656888122	0.3113280788
564	0.8656888122	0.3112454875
565	0.8659764165	0.3111136018
566	0.8659764165	0.3109689989
567	0.8658326143	0.3108606438
568	0.8659764165	0.3107557785
569	0.8664078228	0.3106230535
570	0.8664078228	0.3105123642
571	0.8661202186	0.3104110638
572	0.8664078228	0.3102459725
573	0.8664078228	0.3101679106
574	0.8664078228	0.3100588554
575	0.8664078228	0.3099512297
576	0.8662640207	0.3098269789
577	0.8659764165	0.3096817239
578	0.8661202186	0.3095767721
579	0.8662640207	0.3094692438
580	0.866551625	0.3093840985
581	0.8664078228	0.3093138847
582	0.8664078228	0.3092050042
583	0.8668392292	0.3090929276
584	0.8668392292	0.3090153201
585	0.8668392292	0.3089735427
586	0.8668392292	0.3087993523
587	0.8669830313	0.3086772114
588	0.8669830313	0.3085960195
589	0.8669830313	0.3084253551
590	0.8671268335	0.3083047146
591	0.8672706356	0.30817893
592	0.8679896462	0.3080307681
593	0.8679896462	0.3077712749
594	0.867702042	0.3076110908
595	0.8678458441	0.3074843835
596	0.867702042	0.3073955981
597	0.8679896462	0.3072666456
598	0.8678458441	0.3071866936
599	0.8679896462	0.3070358435
600	0.8682772505	0.3068390379
601	0.8684210526	0.3067305461
602	0.8684210526	0.3066184013
603	0.8684210526	0.3065388536
604	0.8687086569	0.3063951253
605	0.8689962611	0.306278731
606	0.8687086569	0.3061741971
607	0.868852459	0.3060526878
608	0.8687086569	0.3059504792
609	0.8687086569	0.3058717537
610	0.8687086569	0.305736742
611	0.8687086569	0.3055610463
612	0.868852459	0.3054859081
613	0.8689962611	0.3053711806
614	0.8689962611	0.3052512228
615	0.8685648548	0.3051185618
616	0.8692838654	0.3049979893
617	0.8694276675	0.3049588568
618	0.8692838654	0.3048328345
619	0.8689962611	0.3046911798
620	0.8689962611	0.3045912365
621	0.8689962611	0.3044359768
622	0.8694276675	0.3043127867
623	0.8692838654	0.3041562823
624	0.8689962611	0.3040650382
625	0.8692838654	0.3038922302
626	0.8697152718	0.3038076005
627	0.8698590739	0.3036759207
628	0.8692838654	0.3035219094
629	0.8698590739	0.3033744078
630	0.870002876	0.3032900285
631	0.870002876	0.3031721822
632	0.8701466782	0.3030412312
633	0.8701466782	0.3028287468
634	0.8704342824	0.3026790842
635	0.8705780846	0.3025899
636	0.8710094909	0.3023953625
637	0.8712970952	0.3022819059
638	0.8717285016	0.3021375589
639	0.8718723037	0.3020790466
640	0.8717285016	0.3019598532
641	0.8710094909	0.3017586383
642	0.8710094909	0.3016059011
643	0.8710094909	0.3014305421
644	0.8710094909	0.3012771919
645	0.8710094909	0.3012034788
646	0.8711532931	0.301064974
647	0.8712970952	0.300902222
648	0.8714408973	0.300771371
649	0.8715846995	0.3006261472
650	0.8717285016	0.3004457059
651	0.8718723037	0.3003622397
652	0.8718723037	0.3003116107
653	0.8720161058	0.300249152
654	0.872159908	0.3001509339
655	0.8718723037	0.3000651222
656	0.8724475122	0.2999098426
657	0.8723037101	0.2997972621
658	0.8725913144	0.2996440325
659	0.8730227207	0.2994978754
660	0.8728789186	0.2993357261
661	0.8728789186	0.2992256828
662	0.8731665229	0.299123612
663	0.8730227207	0.2989755156
664	0.8730227207	0.2988119191
665	0.8730227207	0.2987486403
666	0.8730227207	0.2986191167
667	0.8731665229	0.2984727166
668	0.8731665229	0.2983940259
669	0.8728789186	0.2982333552
670	0.8730227207	0.2981624335
671	0.873310325	0.2980460215
672	0.8738855335	0.2978296911
673	0.8737417314	0.2976882401
674	0.8735979292	0.2974700079
675	0.8738855335	0.2973173808
676	0.8738855335	0.2972089591
677	0.8740293356	0.2970918205
678	0.8738855335	0.2969434551
679	0.8738855335	0.2968346594
680	0.8738855335	0.2967679926
681	0.8737417314	0.2965707483
682	0.8738855335	0.2964803678
683	0.874460742	0.2963517755
684	0.874460742	0.2962581593
685	0.8747483463	0.2961276746
686	0.8747483463	0.2960124197
687	0.8746045441	0.2959472495
688	0.8748921484	0.2958049583
689	0.875611159	0.2956350033
690	0.875611159	0.295435914
691	0.875611159	0.2953042991
692	0.875611159	0.2952254955
693	0.8757549612	0.2951128761
694	0.8754673569	0.2950377401
695	0.875611159	0.2949248819
696	0.8758987633	0.2948411766
697	0.875611159	0.2947711648
698	0.875611159	0.2946293225
699	0.8757549612	0.2945736019
700	0.8757549612	0.294452856
701	0.8758987633	0.2943342821
702	0.8758987633	0.2942308049
703	0.8760425654	0.2940997591
704	0.8761863676	0.2940365893
705	0.8761863676	0.2939609797
706	0.8763301697	0.2938419971
707	0.8766177739	0.2936955017
708	0.8763301697	0.2936205995
709	0.8766177739	0.2934613852
710	0.8763301697	0.2933079363
711	0.8767615761	0.2931373492
712	0.8766177739	0.2930173265
713	0.8764739718	0.292901038
714	0.8766177739	0.2927878945
715	0.8767615761	0.2926640413
716	0.8770491803	0.2924446257
717	0.8770491803	0.29234724
718	0.8771929825	0.2922706764
719	0.8771929825	0.2921102693
720	0.877768191	0.2919860241
721	0.8774805867	0.2918812589
722	0.8776243888	0.2918012125
723	0.8779119931	0.2916761106
724	0.877768191	0.2915700095
725	0.877768191	0.2914567874
726	0.8780557952	0.2913703078
727	0.877768191	0.2912438512
728	0.877768191	0.2911952488
729	0.8779119931	0.2910239358
730	0.8783433995	0.2908922078
731	0.8784872016	0.2907629614
732	0.8786310037	0.2906519588
733	0.8784872016	0.2905605632
734	0.8784872016	0.2904732588
735	0.8792062123	0.2903916256
736	0.8797814208	0.2903075148
